epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1402,0.8367,2.07065,1.30515,0.83146,0.22436,0.31944,0.14856,1.62405,2.96768,2.32822,0.0701899,0.00331224,0.00331224
2,152.266,0.73662,1.25337,1.18179,0.57753,0.3614,0.31126,0.13072,1.96901,2.94974,2.94137,0.0379968,0.00445253,0.00445253
3,227.012,0.66637,1.00374,1.15461,0.64962,0.39074,0.37234,0.18356,1.66663,2.42894,2.24273,0.0036038,0.00339283,0.00339283
